value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
sesame oil,3003,3003,0.05487537,1.0,sesame oil | sesame oil | sesame oil | sesame oil | sesame oil
cinnamon,2791,2791,0.05100139,1.0,cinnamon | cinnamon | cinnamon | cinnamon | cinnamon
turmeric,2656,2656,0.04853446,1.0,turmeric | turmeric | turmeric | turmeric | turmeric
lime,2644,2644,0.04831518,1.0,lime | lime | lime | lime | lime
honey,2619,2619,0.04785834,1.0,honey | honey | honey | honey | honey
thyme,2452,2452,0.04480667,1.0,thyme | thyme | thyme | thyme | thyme
tomato sauce,2303,2303,0.04208391,1.0,tomato sauce | tomato sauce | tomato sauce | tomato sauce | tomato sauce
garlic powder,2266,2266,0.04140779,1.0,garlic powder | garlic powder | garlic powder | garlic powder | garlic powder
shallots,2150,2150,0.03928806,1.0,shallots | shallots | shallots | shallots | shallots
corn starch,2143,2143,0.03916015,1.0,corn starch | corn starch | corn starch | corn starch | corn starch
avocado,2131,2131,0.03894087,1.0,avocado | avocado | avocado | avocado | avocado
cayenne pepper,2105,2105,0.03846576,1.0,cayenne pepper | cayenne pepper | cayenne pepper | cayenne pepper | cayenne pepper
vanilla extract,2085,2085,0.03810029,1.0,vanilla extract | vanilla extract | vanilla extract | vanilla extract | vanilla extract
sour cream,2070,2070,0.03782618,1.0,sour cream | sour cream | sour cream | sour cream | sour cream
bay leaf,2028,2028,0.03705869,1.0,bay leaf | bay leaf | bay leaf | bay leaf | bay leaf
lemon,1940,1940,0.03545062,1.0,lemon | lemon | lemon | lemon | lemon
panko breadcrumbs,1933,1933,0.03532271,1.0,panko breadcrumbs | panko breadcrumbs | panko breadcrumbs | panko breadcrumbs | panko breadcrumbs
beef,1908,1908,0.03486587,1.0,beef | beef | beef | beef | beef
fish sauce,1841,1841,0.03364155,1.0,fish sauce | fish sauce | fish sauce | fish sauce | fish sauce
rice vinegar,1815,1815,0.03316644,1.0,rice vinegar | rice vinegar | rice vinegar | rice vinegar | rice vinegar
garam masala,1811,1811,0.03309334,1.0,garam masala | garam masala | garam masala | garam masala | garam masala
cooking spray,1717,1717,0.03137563,1.0,cooking spray | cooking spray | cooking spray | cooking spray | cooking spray
canola oil,1624,1624,0.02967619,1.0,canola oil | canola oil | canola oil | canola oil | canola oil
mayonnaise,1618,1618,0.02956655,1.0,mayonnaise | mayonnaise | mayonnaise | mayonnaise | mayonnaise
cucumber,1601,1601,0.0292559,1.0,cucumber | cucumber | cucumber | cucumber | cucumber
jalapeno chilies,1570,1570,0.02868942,1.0,jalapeno chilies | jalapeno chilies | jalapeno chilies | jalapeno chilies | jalapeno chilies
green bell pepper,1536,1536,0.02806812,1.0,green bell pepper | green bell pepper | green bell pepper | green bell pepper | green bell pepper
paprika,1513,1513,0.02764783,1.0,paprika | paprika | paprika | paprika | paprika
mint,1503,1503,0.0274651,1.0,mint | mint | mint | mint | mint
coconut milk,1500,1500,0.02741028,1.0,coconut milk | coconut milk | coconut milk | coconut milk | coconut milk
dijon mustard,1484,1484,0.0271179,1.0,dijon mustard | dijon mustard | dijon mustard | dijon mustard | dijon mustard
heavy cream,1484,1484,0.0271179,1.0,heavy cream | heavy cream | heavy cream | heavy cream | heavy cream
shrimp,1471,1471,0.02688035,1.0,shrimp | shrimp | shrimp | shrimp | shrimp
baking powder,1372,1372,0.02507127,1.0,baking powder | baking powder | baking powder | baking powder | baking powder
zucchini,1365,1365,0.02494335,1.0,zucchini | zucchini | zucchini | zucchini | zucchini
black beans,1326,1326,0.02423068,1.0,black beans | black beans | black beans | black beans | black beans
celery,1296,1296,0.02368248,1.0,celery | celery | celery | celery | celery
green chilies,1283,1283,0.02344492,1.0,green chilies | green chilies | green chilies | green chilies | green chilies
red wine vinegar,1201,1201,0.0219465,1.0,red wine vinegar | red wine vinegar | red wine vinegar | red wine vinegar | red wine vinegar
egg whites,1186,1186,0.02167239,1.0,egg whites | egg whites | egg whites | egg whites | egg whites
salsa,1143,1143,0.02088663,1.0,salsa | salsa | salsa | salsa | salsa
pasta,1130,1130,0.02064908,1.0,pasta | pasta | pasta | pasta | pasta
cumin seed,1110,1110,0.0202836,1.0,cumin seed | cumin seed | cumin seed | cumin seed | cumin seed
nutmeg,1107,1107,0.02022878,1.0,nutmeg | nutmeg | nutmeg | nutmeg | nutmeg
corn tortillas,1088,1088,0.01988159,1.0,corn tortillas | corn tortillas | corn tortillas | corn tortillas | corn tortillas
potato,1068,1068,0.01951612,1.0,potato | potato | potato | potato | potato
mushroom,1024,1024,0.01871208,1.0,mushroom | mushroom | mushroom | mushroom | mushroom
red chili peppers,1014,1014,0.01852935,1.0,red chili peppers | red chili peppers | red chili peppers | red chili peppers | red chili peppers
rice,1012,1012,0.0184928,1.0,rice | rice | rice | rice | rice
dry white wine,976,976,0.01783495,1.0,dry white wine | dry white wine | dry white wine | dry white wine | dry white wine
italian seasoning,954,954,0.01743294,1.0,italian seasoning | italian seasoning | italian seasoning | italian seasoning | italian seasoning
apple cider vinegar,954,954,0.01743294,1.0,apple cider vinegar | apple cider vinegar | apple cider vinegar | apple cider vinegar | apple cider vinegar
worcestershire sauce,949,949,0.01734157,1.0,worcestershire sauce | worcestershire sauce | worcestershire sauce | worcestershire sauce | worcestershire sauce
spinach,943,943,0.01723193,1.0,spinach | spinach | spinach | spinach | spinach
egg yolks,914,914,0.016702,1.0,egg yolks | egg yolks | egg yolks | egg yolks | egg yolks
cherry tomatoes,906,906,0.01655581,1.0,cherry tomatoes | cherry tomatoes | cherry tomatoes | cherry tomatoes | cherry tomatoes
baking soda,892,892,0.01629998,1.0,baking soda | baking soda | baking soda | baking soda | baking soda
chives,891,891,0.0162817,1.0,chives | chives | chives | chives | chives
pork,889,889,0.01624516,1.0,pork | pork | pork | pork | pork
flour tortillas,887,887,0.01620861,1.0,flour tortillas | flour tortillas | flour tortillas | flour tortillas | flour tortillas
vanilla,885,885,0.01617206,1.0,vanilla | vanilla | vanilla | vanilla | vanilla
rosemary,884,884,0.01615379,1.0,rosemary | rosemary | rosemary | rosemary | rosemary
onion powder,881,881,0.01609897,1.0,onion powder | onion powder | onion powder | onion powder | onion powder
peanuts,875,875,0.01598933,1.0,peanuts | peanuts | peanuts | peanuts | peanuts
mirin,857,857,0.0156604,1.0,mirin | mirin | mirin | mirin | mirin
balsamic vinegar,857,857,0.0156604,1.0,balsamic vinegar | balsamic vinegar | balsamic vinegar | balsamic vinegar | balsamic vinegar
sesame seeds,855,855,0.01562386,1.0,sesame seeds | sesame seeds | sesame seeds | sesame seeds | sesame seeds
curry powder,843,843,0.01540458,1.0,curry powder | curry powder | curry powder | curry powder | curry powder
peas,842,842,0.0153863,1.0,peas | peas | peas | peas | peas
smoked paprika,810,810,0.01480155,1.0,smoked paprika | smoked paprika | smoked paprika | smoked paprika | smoked paprika
sriracha,793,793,0.0144909,1.0,sriracha | sriracha | sriracha | sriracha | sriracha
peanut oil,790,790,0.01443608,1.0,peanut oil | peanut oil | peanut oil | peanut oil | peanut oil
corn,764,764,0.01396097,1.0,corn | corn | corn | corn | corn
lime wedges,757,757,0.01383305,1.0,lime wedges | lime wedges | lime wedges | lime wedges | lime wedges
coconut oil,740,740,0.0135224,1.0,coconut oil | coconut oil | coconut oil | coconut oil | coconut oil
dill,738,738,0.01348586,1.0,dill | dill | dill | dill | dill
oyster sauce,738,738,0.01348586,1.0,oyster sauce | oyster sauce | oyster sauce | oyster sauce | oyster sauce
ketchup,728,728,0.01330312,1.0,ketchup | ketchup | ketchup | ketchup | ketchup
orange juice,702,702,0.01282801,1.0,orange juice | orange juice | orange juice | orange juice | orange juice
bacon,687,687,0.01255391,1.0,bacon | bacon | bacon | bacon | bacon
lemon zest,679,679,0.01240772,1.0,lemon zest | lemon zest | lemon zest | lemon zest | lemon zest
green beans,677,677,0.01237117,1.0,green beans | green beans | green beans | green beans | green beans
maple syrup,666,666,0.01217016,1.0,maple syrup | maple syrup | maple syrup | maple syrup | maple syrup
chickpeas,658,658,0.01202397,1.0,chickpeas | chickpeas | chickpeas | chickpeas | chickpeas
hot sauce,646,646,0.01180469,1.0,hot sauce | hot sauce | hot sauce | hot sauce | hot sauce
hoisin sauce,599,599,0.01094584,1.0,hoisin sauce | hoisin sauce | hoisin sauce | hoisin sauce | hoisin sauce
bell pepper,593,593,0.0108362,1.0,bell pepper | bell pepper | bell pepper | bell pepper | bell pepper
plum tomatoes,591,591,0.01079965,1.0,plum tomatoes | plum tomatoes | plum tomatoes | plum tomatoes | plum tomatoes
sake,570,570,0.01041591,1.0,sake | sake | sake | sake | sake
buttermilk,570,570,0.01041591,1.0,buttermilk | buttermilk | buttermilk | buttermilk | buttermilk
white wine vinegar,564,564,0.01030626,1.0,white wine vinegar | white wine vinegar | white wine vinegar | white wine vinegar | white wine vinegar
almond,564,564,0.01030626,1.0,almond | almond | almond | almond | almond
banana,563,563,0.01028799,1.0,banana | banana | banana | banana | banana
strawberry,561,561,0.01025144,1.0,strawberry | strawberry | strawberry | strawberry | strawberry
chinese five spice powder,558,558,0.01019662,1.0,chinese five spice powder | chinese five spice powder | chinese five spice powder | chinese five spice powder | chinese five spice powder
sweet potatoes,549,549,0.01003216,1.0,sweet potatoes | sweet potatoes | sweet potatoes | sweet potatoes | sweet potatoes
lemongrass,544,544,0.00994079,1.0,lemongrass | lemongrass | lemongrass | lemongrass | lemongrass
baby spinach,541,541,0.00988597,1.0,baby spinach | baby spinach | baby spinach | baby spinach | baby spinach
beansprouts,538,538,0.00983115,1.0,beansprouts | beansprouts | beansprouts | beansprouts | beansprouts
vegetable broth,534,534,0.00975806,1.0,vegetable broth | vegetable broth | vegetable broth | vegetable broth | vegetable broth
cauliflower,532,532,0.00972151,1.0,cauliflower | cauliflower | cauliflower | cauliflower | cauliflower
bread,529,529,0.00966669,1.0,bread | bread | bread | bread | bread
coriander seeds,520,520,0.00950223,1.0,coriander seeds | coriander seeds | coriander seeds | coriander seeds | coriander seeds
french bread,517,517,0.00944741,1.0,french bread | french bread | french bread | french bread | french bread
curry leaves,515,515,0.00941086,1.0,curry leaves | curry leaves | curry leaves | curry leaves | curry leaves
shaoxing wine,513,513,0.00937431,1.0,shaoxing wine | shaoxing wine | shaoxing wine | shaoxing wine | shaoxing wine
lettuce,510,510,0.00931949,1.0,lettuce | lettuce | lettuce | lettuce | lettuce
cabbage,508,508,0.00928295,1.0,cabbage | cabbage | cabbage | cabbage | cabbage
white wine,506,506,0.0092464,1.0,white wine | white wine | white wine | white wine | white wine
capers,505,505,0.00922813,1.0,capers | capers | capers | capers | capers
roma tomatoes,502,502,0.00917331,1.0,roma tomatoes | roma tomatoes | roma tomatoes | roma tomatoes | roma tomatoes
romaine lettuce,499,499,0.00911849,1.0,romaine lettuce | romaine lettuce | romaine lettuce | romaine lettuce | romaine lettuce
quinoa,497,497,0.00908194,1.0,quinoa | quinoa | quinoa | quinoa | quinoa
cinnamon sticks,491,491,0.0089723,1.0,cinnamon sticks | cinnamon sticks | cinnamon sticks | cinnamon sticks | cinnamon sticks
black olives,491,491,0.0089723,1.0,black olives | black olives | black olives | black olives | black olives
fennel seeds,487,487,0.0088992,1.0,fennel seeds | fennel seeds | fennel seeds | fennel seeds | fennel seeds
mustard seeds,486,486,0.00888093,1.0,mustard seeds | mustard seeds | mustard seeds | mustard seeds | mustard seeds
ghee,485,485,0.00886266,1.0,ghee | ghee | ghee | ghee | ghee
mango,475,475,0.00867992,1.0,mango | mango | mango | mango | mango
eggplant,468,468,0.00855201,1.0,eggplant | eggplant | eggplant | eggplant | eggplant
pecan,468,468,0.00855201,1.0,pecan | pecan | pecan | pecan | pecan
white vinegar,458,458,0.00836927,1.0,white vinegar | white vinegar | white vinegar | white vinegar | white vinegar
corn kernels,443,443,0.00809517,1.0,corn kernels | corn kernels | corn kernels | corn kernels | corn kernels
broccoli,441,441,0.00805862,1.0,broccoli | broccoli | broccoli | broccoli | broccoli
peanut butter,439,439,0.00802207,1.0,peanut butter | peanut butter | peanut butter | peanut butter | peanut butter
orange,427,427,0.00780279,1.0,orange | orange | orange | orange | orange
blueberry,426,426,0.00778452,1.0,blueberry | blueberry | blueberry | blueberry | blueberry
walnut,423,423,0.0077297,1.0,walnut | walnut | walnut | walnut | walnut
basmati rice,417,417,0.00762006,1.0,basmati rice | basmati rice | basmati rice | basmati rice | basmati rice
sherry vinegar,415,415,0.00758351,1.0,sherry vinegar | sherry vinegar | sherry vinegar | sherry vinegar | sherry vinegar
black peppercorns,410,410,0.00749214,1.0,black peppercorns | black peppercorns | black peppercorns | black peppercorns | black peppercorns
rice noodles,405,405,0.00740077,1.0,rice noodles | rice noodles | rice noodles | rice noodles | rice noodles
sweet chili sauce,405,405,0.00740077,1.0,sweet chili sauce | sweet chili sauce | sweet chili sauce | sweet chili sauce | sweet chili sauce
english cucumber,401,401,0.00732768,1.0,english cucumber | english cucumber | english cucumber | english cucumber | english cucumber
taco seasoning,401,401,0.00732768,1.0,taco seasoning | taco seasoning | taco seasoning | taco seasoning | taco seasoning
whipping cream,400,400,0.00730941,1.0,whipping cream | whipping cream | whipping cream | whipping cream | whipping cream
brown rice,399,399,0.00729113,1.0,brown rice | brown rice | brown rice | brown rice | brown rice
pure vanilla extract,396,396,0.00723631,1.0,pure vanilla extract | pure vanilla extract | pure vanilla extract | pure vanilla extract | pure vanilla extract
white rice,395,395,0.00721804,1.0,white rice | white rice | white rice | white rice | white rice
fine sea salt,393,393,0.00718149,1.0,fine sea salt | fine sea salt | fine sea salt | fine sea salt | fine sea salt
cashew nuts,391,391,0.00714495,1.0,cashew nuts | cashew nuts | cashew nuts | cashew nuts | cashew nuts
tomatillos,388,388,0.00709012,1.0,tomatillos | tomatillos | tomatillos | tomatillos | tomatillos
and half,387,387,0.00707185,1.0,and half | and half | and half | and half | and half
beef broth,382,382,0.00698048,1.0,beef broth | beef broth | beef broth | beef broth | beef broth
chicken breast halves,379,379,0.00692566,1.0,chicken breast halves | chicken breast halves | chicken breast halves | chicken breast halves | chicken breast halves
tortilla chips,375,375,0.00685257,1.0,tortilla chips | tortilla chips | tortilla chips | tortilla chips | tortilla chips
grape tomatoes,375,375,0.00685257,1.0,grape tomatoes | grape tomatoes | grape tomatoes | grape tomatoes | grape tomatoes
shallot,373,373,0.00681602,1.0,shallot | shallot | shallot | shallot | shallot
cornstarch,373,373,0.00681602,1.0,cornstarch | cornstarch | cornstarch | cornstarch | cornstarch
active dry yeast,369,369,0.00674293,1.0,active dry yeast | active dry yeast | active dry yeast | active dry yeast | active dry yeast
mozzarella,367,367,0.00670638,1.0,mozzarella | mozzarella | mozzarella | mozzarella | mozzarella
garlic salt,364,364,0.00665156,1.0,garlic salt | garlic salt | garlic salt | garlic salt | garlic salt
thai basil,363,363,0.00663329,1.0,thai basil | thai basil | thai basil | thai basil | thai basil
pineapple,358,358,0.00654192,1.0,pineapple | pineapple | pineapple | pineapple | pineapple
shiitake,354,354,0.00646883,1.0,shiitake | shiitake | shiitake | shiitake | shiitake
asparagus,353,353,0.00645055,1.0,asparagus | asparagus | asparagus | asparagus | asparagus
leeks,352,352,0.00643228,1.0,leeks | leeks | leeks | leeks | leeks
creamy peanut butter,350,350,0.00639573,1.0,creamy peanut butter | creamy peanut butter | creamy peanut butter | creamy peanut butter | creamy peanut butter
roasted red peppers,350,350,0.00639573,1.0,roasted red peppers | roasted red peppers | roasted red peppers | roasted red peppers | roasted red peppers
marinara sauce,349,349,0.00637746,1.0,marinara sauce | marinara sauce | marinara sauce | marinara sauce | marinara sauce
star anise,346,346,0.00632264,1.0,star anise | star anise | star anise | star anise | star anise
baguette,344,344,0.00628609,1.0,baguette | baguette | baguette | baguette | baguette
dark brown sugar,340,340,0.006213,1.0,dark brown sugar | dark brown sugar | dark brown sugar | dark brown sugar | dark brown sugar
cream,338,338,0.00617645,1.0,cream | cream | cream | cream | cream
salmon fillets,337,337,0.00615818,1.0,salmon fillets | salmon fillets | salmon fillets | salmon fillets | salmon fillets
kale,337,337,0.00615818,1.0,kale | kale | kale | kale | kale
red curry paste,334,334,0.00610336,1.0,red curry paste | red curry paste | red curry paste | red curry paste | red curry paste
broccoli florets,333,333,0.00608508,1.0,broccoli florets | broccoli florets | broccoli florets | broccoli florets | broccoli florets
cumin seeds,332,332,0.00606681,1.0,cumin seeds | cumin seeds | cumin seeds | cumin seeds | cumin seeds
thai chile,331,331,0.00604853,1.0,thai chile | thai chile | thai chile | thai chile | thai chile
bread crumbs,331,331,0.00604853,1.0,bread crumbs | bread crumbs | bread crumbs | bread crumbs | bread crumbs
fat free,327,327,0.00597544,1.0,fat free | fat free | fat free | fat free | fat free
red wine,327,327,0.00597544,1.0,red wine | red wine | red wine | red wine | red wine
enchilada sauce,326,326,0.00595717,1.0,enchilada sauce | enchilada sauce | enchilada sauce | enchilada sauce | enchilada sauce
kalamata,325,325,0.00593889,1.0,kalamata | kalamata | kalamata | kalamata | kalamata
ground cardamom,324,324,0.00592062,1.0,ground cardamom | ground cardamom | ground cardamom | ground cardamom | ground cardamom
red cabbage,323,323,0.00590235,1.0,red cabbage | red cabbage | red cabbage | red cabbage | red cabbage
toasted sesame seeds,323,323,0.00590235,1.0,toasted sesame seeds | toasted sesame seeds | toasted sesame seeds | toasted sesame seeds | toasted sesame seeds
saffron threads,322,322,0.00588407,1.0,saffron threads | saffron threads | saffron threads | saffron threads | saffron threads
russet potatoes,321,321,0.0058658,1.0,russet potatoes | russet potatoes | russet potatoes | russet potatoes | russet potatoes
refried beans,320,320,0.00584753,1.0,refried beans | refried beans | refried beans | refried beans | refried beans
ground turkey,320,320,0.00584753,1.0,ground turkey | ground turkey | ground turkey | ground turkey | ground turkey
yellow bell pepper,319,319,0.00582925,1.0,yellow bell pepper | yellow bell pepper | yellow bell pepper | yellow bell pepper | yellow bell pepper
butternut squash,318,318,0.00581098,1.0,butternut squash | butternut squash | butternut squash | butternut squash | butternut squash
coconut,318,318,0.00581098,1.0,coconut | coconut | coconut | coconut | coconut
kaffir lime leaves,317,317,0.00579271,1.0,kaffir lime leaves | kaffir lime leaves | kaffir lime leaves | kaffir lime leaves | kaffir lime leaves
jalapeno,311,311,0.00568306,1.0,jalapeno | jalapeno | jalapeno | jalapeno | jalapeno
apple,310,310,0.00566479,1.0,apple | apple | apple | apple | apple
radishes,308,308,0.00562824,1.0,radishes | radishes | radishes | radishes | radishes
hot water,307,307,0.00560997,1.0,hot water | hot water | hot water | hot water | hot water
sage,306,306,0.0055917,1.0,sage | sage | sage | sage | sage
tortillas,305,305,0.00557342,1.0,tortillas | tortillas | tortillas | tortillas | tortillas
vegetable stock,304,304,0.00555515,1.0,vegetable stock | vegetable stock | vegetable stock | vegetable stock | vegetable stock
lemon wedges,304,304,0.00555515,1.0,lemon wedges | lemon wedges | lemon wedges | lemon wedges | lemon wedges
ground cloves,303,303,0.00553688,1.0,ground cloves | ground cloves | ground cloves | ground cloves | ground cloves
celery ribs,299,299,0.00546378,1.0,celery ribs | celery ribs | celery ribs | celery ribs | celery ribs
dry sherry,298,298,0.00544551,1.0,dry sherry | dry sherry | dry sherry | dry sherry | dry sherry
arugula,298,298,0.00544551,1.0,arugula | arugula | arugula | arugula | arugula
guacamole,294,294,0.00537241,1.0,guacamole | guacamole | guacamole | guacamole | guacamole
spanish paprika,293,293,0.00535414,1.0,spanish paprika | spanish paprika | spanish paprika | spanish paprika | spanish paprika
tomato puree,293,293,0.00535414,1.0,tomato puree | tomato puree | tomato puree | tomato puree | tomato puree
flank steak,293,293,0.00535414,1.0,flank steak | flank steak | flank steak | flank steak | flank steak
reduced sodium soy sauce,288,288,0.00526277,1.0,reduced sodium soy sauce | reduced sodium soy sauce | reduced sodium soy sauce | reduced sodium soy sauce | reduced sodium soy sauce
roasted peanuts,287,287,0.0052445,1.0,roasted peanuts | roasted peanuts | roasted peanuts | roasted peanuts | roasted peanuts
firm tofu,282,282,0.00515313,1.0,firm tofu | firm tofu | firm tofu | firm tofu | firm tofu
shiitake mushrooms,281,281,0.00513486,1.0,shiitake mushrooms | shiitake mushrooms | shiitake mushrooms | shiitake mushrooms | shiitake mushrooms
italian sausage,280,280,0.00511659,1.0,italian sausage | italian sausage | italian sausage | italian sausage | italian sausage
parmesan,279,279,0.00509831,1.0,parmesan | parmesan | parmesan | parmesan | parmesan
chili sauce,276,276,0.00504349,1.0,chili sauce | chili sauce | chili sauce | chili sauce | chili sauce
raisins,275,275,0.00502522,1.0,raisins | raisins | raisins | raisins | raisins
tarragon,274,274,0.00500694,1.0,tarragon | tarragon | tarragon | tarragon | tarragon
jalapeno pepper,273,273,0.00498867,1.0,jalapeno pepper | jalapeno pepper | jalapeno pepper | jalapeno pepper | jalapeno pepper
boiling water,273,273,0.00498867,1.0,boiling water | boiling water | boiling water | boiling water | boiling water
napa cabbage,273,273,0.00498867,1.0,napa cabbage | napa cabbage | napa cabbage | napa cabbage | napa cabbage
rice wine,271,271,0.00495212,1.0,rice wine | rice wine | rice wine | rice wine | rice wine
snow peas,269,269,0.00491558,1.0,snow peas | snow peas | snow peas | snow peas | snow peas
raspberry,268,268,0.0048973,1.0,raspberry | raspberry | raspberry | raspberry | raspberry
olives,266,266,0.00486076,1.0,olives | olives | olives | olives | olives
yukon gold potatoes,265,265,0.00484248,1.0,yukon gold potatoes | yukon gold potatoes | yukon gold potatoes | yukon gold potatoes | yukon gold potatoes
saffron,263,263,0.00480594,1.0,saffron | saffron | saffron | saffron | saffron
vinegar,262,262,0.00478766,1.0,vinegar | vinegar | vinegar | vinegar | vinegar
thai red curry paste,260,260,0.00475111,1.0,thai red curry paste | thai red curry paste | thai red curry paste | thai red curry paste | thai red curry paste
arborio rice,259,259,0.00473284,1.0,arborio rice | arborio rice | arborio rice | arborio rice | arborio rice
cranberries,258,258,0.00471457,1.0,cranberries | cranberries | cranberries | cranberries | cranberries
spanish chorizo,257,257,0.00469629,1.0,spanish chorizo | spanish chorizo | spanish chorizo | spanish chorizo | spanish chorizo
vegetables,256,256,0.00467802,1.0,vegetables | vegetables | vegetables | vegetables | vegetables
extra firm tofu,254,254,0.00464147,1.0,extra firm tofu | extra firm tofu | extra firm tofu | extra firm tofu | extra firm tofu
light coconut milk,250,250,0.00456838,1.0,light coconut milk | light coconut milk | light coconut milk | light coconut milk | light coconut milk
heavy whipping cream,247,247,0.00451356,1.0,heavy whipping cream | heavy whipping cream | heavy whipping cream | heavy whipping cream | heavy whipping cream
ice,247,247,0.00451356,1.0,ice | ice | ice | ice | ice
pinto beans,246,246,0.00449529,1.0,pinto beans | pinto beans | pinto beans | pinto beans | pinto beans
whole wheat flour,243,243,0.00444046,1.0,whole wheat flour | whole wheat flour | whole wheat flour | whole wheat flour | whole wheat flour
palm sugar,242,242,0.00442219,1.0,palm sugar | palm sugar | palm sugar | palm sugar | palm sugar
pitted kalamata olives,242,242,0.00442219,1.0,pitted kalamata olives | pitted kalamata olives | pitted kalamata olives | pitted kalamata olives | pitted kalamata olives
long grain rice,240,240,0.00438564,1.0,long grain rice | long grain rice | long grain rice | long grain rice | long grain rice
reduced sodium chicken broth,239,239,0.00436737,1.0,reduced sodium chicken broth | reduced sodium chicken broth | reduced sodium chicken broth | reduced sodium chicken broth | reduced sodium chicken broth
pork tenderloin,238,238,0.0043491,1.0,pork tenderloin | pork tenderloin | pork tenderloin | pork tenderloin | pork tenderloin
long grain white rice,238,238,0.0043491,1.0,long grain white rice | long grain white rice | long grain white rice | long grain white rice | long grain white rice
ground chicken,236,236,0.00431255,1.0,ground chicken | ground chicken | ground chicken | ground chicken | ground chicken
ham,235,235,0.00429428,1.0,ham | ham | ham | ham | ham
mussels,234,234,0.004276,1.0,mussels | mussels | mussels | mussels | mussels
mustard,234,234,0.004276,1.0,mustard | mustard | mustard | mustard | mustard
lime zest,233,233,0.00425773,1.0,lime zest | lime zest | lime zest | lime zest | lime zest
dry red wine,232,232,0.00423946,1.0,dry red wine | dry red wine | dry red wine | dry red wine | dry red wine
jasmine rice,231,231,0.00422118,1.0,jasmine rice | jasmine rice | jasmine rice | jasmine rice | jasmine rice
noodles,230,230,0.00420291,1.0,noodles | noodles | noodles | noodles | noodles
orange zest,229,229,0.00418464,1.0,orange zest | orange zest | orange zest | orange zest | orange zest
beef stock,228,228,0.00416636,1.0,beef stock | beef stock | beef stock | beef stock | beef stock
lasagna noodles,227,227,0.00414809,1.0,lasagna noodles | lasagna noodles | lasagna noodles | lasagna noodles | lasagna noodles
iceberg lettuce,226,226,0.00412982,1.0,iceberg lettuce | iceberg lettuce | iceberg lettuce | iceberg lettuce | iceberg lettuce
cream of tartar,225,225,0.00411154,1.0,cream of tartar | cream of tartar | cream of tartar | cream of tartar | cream of tartar
water chestnuts,225,225,0.00411154,1.0,water chestnuts | water chestnuts | water chestnuts | water chestnuts | water chestnuts
chili oil,223,223,0.00407499,1.0,chili oil | chili oil | chili oil | chili oil | chili oil
unsweetened cocoa powder,221,221,0.00403845,1.0,unsweetened cocoa powder | unsweetened cocoa powder | unsweetened cocoa powder | unsweetened cocoa powder | unsweetened cocoa powder
