left,right,support_left,support_right,cooccurrence,p_right_given_left,p_left_given_right,jaccard,lift
cheese,onion,15753,12300,3418,0.21697454,0.27788618,0.13874569,1.06811453
lemon juice,salt,4935,34455,3309,0.67051672,0.09603831,0.09171032,1.1783424
cheese,egg,15753,11145,3301,0.20954739,0.29618663,0.13989066,1.1384562
chicken,pepper,7796,22147,3216,0.41251924,0.14521154,0.12032776,1.1278295
onion,tomato,12300,7169,3191,0.25943089,0.44511089,0.19603145,2.19117599
butter,pepper,9765,22147,3172,0.32483359,0.14322482,0.11036882,0.88809653
egg,sugar,11145,9681,3163,0.2838044,0.32672245,0.1790749,1.77506004
garlic,soy sauce,24801,5367,3116,0.1256401,0.58058506,0.11518557,1.41745999
ground cumin,salt,4111,34455,3111,0.75675018,0.09029168,0.08774503,1.32988604
butter,cheese,9765,15753,3094,0.31684588,0.19640703,0.13797717,1.2178644
cilantro,pepper,9781,22147,3046,0.3114201,0.13753556,0.10546361,0.85142399
olive oil,tomato,18893,7169,3014,0.15952998,0.42042126,0.13077057,1.34740418
pepper,tomato,22147,7169,2912,0.13148508,0.40619333,0.11028632,1.11053444
oregano,salt,4074,34455,2894,0.71035837,0.08399361,0.08121229,1.24835871
salt,vegetable oil,34455,5198,2873,0.08338412,0.55271258,0.0781131,0.97131757
green onion,pepper,8103,22147,2859,0.35283228,0.12909198,0.10437735,0.96464509
egg,garlic,11145,24801,2771,0.24863167,0.11172937,0.08352675,0.60701777
pepper,water,22147,8805,2764,0.12480246,0.31391255,0.09805591,0.85823836
butter,sugar,9765,9681,2760,0.28264209,0.28509452,0.16540813,1.76779036
garlic,oregano,24801,4074,2740,0.11047942,0.67255768,0.10484025,1.64200507
cilantro,onion,9781,12300,2719,0.27798794,0.22105691,0.14042971,1.36846907
carrot,garlic,4669,24801,2678,0.57357036,0.10797952,0.09995521,1.40033407
flour,sugar,8057,9681,2672,0.33163709,0.27600454,0.17735298,2.07423051
garlic,vegetable oil,24801,5198,2636,0.10628604,0.50711812,0.09633447,1.23809533
cilantro,olive oil,9781,18893,2570,0.26275432,0.13602922,0.09845234,0.84209888
garlic,ground cumin,24801,4111,2556,0.10306036,0.62174653,0.09697981,1.51795301
olive oil,oregano,18893,4074,2547,0.13481184,0.62518409,0.12473066,2.00364669
cheese,tomato,15753,7169,2535,0.16092173,0.3536058,0.12434394,1.35915898
flour,pepper,8057,22147,2532,0.31426089,0.114327,0.09150043,0.85919072
butter,garlic,9765,24801,2504,0.25642601,0.10096367,0.07809868,0.62604713
garlic,sugar,24801,9681,2504,0.10096367,0.25865097,0.07830383,0.63147921
ginger,green onion,7018,8103,2494,0.3553719,0.30778724,0.19751327,2.65553111
carrot,salt,4669,34455,2484,0.5320197,0.07209404,0.06779476,0.93495264
oregano,pepper,4074,22147,2472,0.60677467,0.11161783,0.10408859,1.65892474
green onion,soy sauce,8103,5367,2424,0.29914846,0.45164897,0.21944595,3.37496543
parsley,salt,3492,34455,2396,0.68613975,0.06953998,0.06739614,1.20579776
lemon juice,pepper,4935,22147,2330,0.47213779,0.10520612,0.09413381,1.2908269
chili powder,garlic,4698,24801,2263,0.48169434,0.09124632,0.08308856,1.17602484
onion,water,12300,8805,2255,0.18333333,0.25610449,0.11962865,1.260742
lemon juice,olive oil,4935,18893,2249,0.45572442,0.1190388,0.1042217,1.46054695
cilantro,lime juice,9781,3816,2242,0.22921992,0.58752621,0.19744606,3.63712419
oil,salt,3310,34455,2238,0.67613293,0.06495429,0.06299434,1.18821213
ginger,soy sauce,7018,5367,2223,0.31675691,0.41419788,0.21875615,3.57362231
egg,olive oil,11145,18893,2193,0.19676985,0.11607474,0.07875741,0.63062587
parsley,pepper,3492,22147,2155,0.61712486,0.09730438,0.09176461,1.6872222
cheese,cilantro,15753,9781,2138,0.13572018,0.21858706,0.09138314,0.84018576
cilantro,tomato,9781,7169,2138,0.21858706,0.29822848,0.14434243,1.84620537
cilantro,green onion,9781,8103,2133,0.21807586,0.26323584,0.13541997,1.62958082
garlic,parsley,24801,3492,2116,0.08531914,0.60595647,0.08083432,1.47940262
garlic,lemon juice,24801,4935,2111,0.08511754,0.42776089,0.07641629,1.0443499
cilantro,ginger,9781,7018,2082,0.21286167,0.29666572,0.14146905,1.83653094
salt,soy sauce,34455,5367,2073,0.06016543,0.3862493,0.05491536,0.67878088
cheese,flour,15753,8057,2061,0.13083222,0.25580241,0.09476298,0.98323086
chicken,olive oil,7796,18893,2048,0.26269882,0.10839994,0.08311351,0.841921
olive oil,water,18893,8805,2046,0.10829408,0.23236797,0.07975986,0.74471395
chili powder,onion,4698,12300,2035,0.43316305,0.16544715,0.13600214,2.13235956
olive oil,parsley,18893,3492,2035,0.10771185,0.5827606,0.1,1.86768401
cheese,oregano,15753,4074,2033,0.12905478,0.49901816,0.114252,1.91808226
lime juice,salt,3816,34455,2032,0.53249476,0.05897548,0.05607219,0.93578748
garlic,lime juice,24801,3816,2006,0.08088384,0.52568134,0.07538236,1.2834162
cilantro,lime,9781,3146,2003,0.20478479,0.6366815,0.18335774,3.94142366
ginger,pepper,7018,22147,2001,0.28512397,0.09035084,0.07366367,0.77953024
egg,milk,11145,3433,1969,0.17667115,0.57355083,0.1561583,3.11606126
carrot,pepper,4669,22147,1959,0.41957593,0.08845442,0.0788108,1.14712251
cheese,chicken,15753,7796,1958,0.12429379,0.25115444,0.09068593,0.96536541
sugar,water,9681,8805,1957,0.20214854,0.22226008,0.11839797,1.39012993
chili powder,cilantro,4698,9781,1949,0.41485739,0.19926388,0.15554669,2.56820517
butter,olive oil,9765,18893,1947,0.19938556,0.10305404,0.07289132,0.63900893
chicken,cilantro,7796,9781,1944,0.24935865,0.19875268,0.12435233,1.54367304
milk,salt,3433,34455,1934,0.56335567,0.05613119,0.05379096,0.99002135
pepper,sugar,22147,9681,1913,0.08637739,0.19760355,0.06394785,0.54024902
cheese,pasta,15753,2765,1868,0.11858059,0.6755877,0.11219219,2.59676477
lime,salt,3146,34455,1866,0.59313414,0.0541576,0.05221771,1.04235298
garlic powder,salt,2686,34455,1853,0.68987342,0.05378029,0.05251077,1.21235918
garam masala,salt,2179,34455,1849,0.84855438,0.0536642,0.0531551,1.4912195
chicken,onion,7796,12300,1836,0.23550539,0.14926829,0.10054765,1.1593375
cilantro,ground cumin,9781,4111,1825,0.18658624,0.44393092,0.15123892,2.748187
garlic,sesame oil,24801,2978,1807,0.07285997,0.60678308,0.06957493,1.48142072
flour,garlic,8057,24801,1794,0.22266352,0.07233579,0.05775174,0.54361825
purple onion,salt,2637,34455,1775,0.67311339,0.05151647,0.05025908,1.18290569
garlic,red bell pepper,24801,2893,1767,0.07124713,0.61078465,0.06815289,1.4911903
garlic,lime,24801,3146,1750,0.07056167,0.55626192,0.06680154,1.35807666
basil,garlic,2827,24801,1749,0.61867704,0.07052135,0.06758376,1.51045905
garlic,red pepper flakes,24801,2319,1739,0.07011814,0.74989219,0.06851582,1.83081216
sesame oil,soy sauce,2978,5367,1734,0.58226998,0.32308552,0.26229012,6.56911632
pepper,soy sauce,22147,5367,1716,0.07748228,0.31973169,0.06651678,0.87414792
chicken,ginger,7796,7018,1709,0.21921498,0.24351667,0.13040824,1.89134613
ginger,onion,7018,12300,1702,0.24251924,0.13837398,0.09661671,1.19386502
ground cumin,onion,4111,12300,1695,0.41230844,0.13780488,0.11518076,2.02969724
basil,salt,2827,34455,1686,0.59639193,0.04893339,0.04736487,1.04807812
ground cumin,pepper,4111,22147,1682,0.40914619,0.07594708,0.06844076,1.11860758
chicken,green onion,7796,8103,1681,0.2156234,0.20745403,0.11823041,1.61125468
pepper,vegetable oil,22147,5198,1679,0.07581162,0.32300885,0.06541728,0.88310768
basil,olive oil,2827,18893,1658,0.58648744,0.08775737,0.0826438,1.87962815
salt,thyme,34455,2373,1642,0.04765636,0.69195112,0.04666629,1.21601045
flour,olive oil,8057,18893,1641,0.20367382,0.08685757,0.06483859,0.65275234
carrot,onion,4669,12300,1639,0.35103877,0.13325203,0.10691455,1.72808108
butter,milk,9765,3433,1632,0.1671275,0.47538596,0.14110323,2.94773373
garlic,pasta,24801,2765,1626,0.06556187,0.5880651,0.06268311,1.43572202
garlic,yellow onion,24801,2303,1625,0.06552155,0.70560139,0.06377801,1.72267909
red bell pepper,salt,2893,34455,1625,0.56170066,0.04716297,0.0454889,0.98711289
ginger,water,7018,8805,1606,0.22884013,0.18239637,0.11296335,1.57368195
butter,onion,9765,12300,1600,0.16385049,0.1300813,0.07818226,0.80659731
lemon,salt,2264,34455,1598,0.70583039,0.04637934,0.04549984,1.24040139
salt,shallots,34455,2528,1596,0.04632129,0.63132911,0.04510131,1.10947549
cilantro,water,9781,8805,1591,0.1626623,0.18069279,0.09361577,1.118592
salt,yellow onion,34455,2303,1591,0.04617617,0.69083804,0.04524128,1.21405437
avocado,salt,2466,34455,1578,0.63990268,0.04579887,0.04464816,1.12454236
green onion,olive oil,8103,18893,1578,0.19474269,0.083523,0.06208199,0.62412903
olive oil,pasta,18893,2765,1576,0.08341714,0.56998192,0.07847824,1.82672974
egg,onion,11145,12300,1573,0.14113952,0.12788618,0.07191843,0.6947966
chili powder,ground cumin,4698,4111,1567,0.33354619,0.38117246,0.21637669,4.91272727
ground turmeric,salt,1864,34455,1567,0.84066524,0.04547961,0.04509093,1.47735539
panko breadcrumbs,salt,2274,34455,1563,0.68733509,0.04536352,0.04444634,1.20789841
carrot,olive oil,4669,18893,1562,0.33454701,0.08267612,0.071,1.07218661
green onion,sesame oil,8103,2978,1560,0.19252129,0.5238415,0.16384834,3.91442714
chili powder,pepper,4698,22147,1556,0.33120477,0.07025782,0.06152873,0.90551536
cooking spray,salt,2025,34455,1535,0.75802469,0.04455086,0.04392617,1.33212582
basil,pepper,2827,22147,1529,0.54085603,0.0690387,0.06521646,1.47870288
pepper,thyme,22147,2373,1528,0.06899354,0.64391066,0.0664579,1.76045471
garlic powder,pepper,2686,22147,1526,0.56813105,0.06890324,0.06547389,1.55327291
honey,salt,2977,34455,1525,0.51226067,0.04426063,0.04247083,0.9002288
cheese,green onion,15753,8103,1512,0.09598172,0.18659756,0.06766917,0.71722732
corn starch,garlic,2573,24801,1509,0.58647493,0.06084432,0.05834139,1.43183973
soy sauce,sugar,5367,9681,1509,0.28116266,0.15587233,0.11145579,1.75853725
green onion,water,8103,8805,1500,0.18511662,0.17035775,0.09735202,1.27300529
egg,vanilla extract,11145,2397,1495,0.13414087,0.62369629,0.12409729,3.388498
cheese,water,15753,8805,1491,0.09464864,0.1693356,0.06463779,0.65087735
basil,cheese,2827,15753,1470,0.51998585,0.09331556,0.08591467,1.99867601
ginger,sesame oil,7018,2978,1470,0.20946139,0.49361988,0.17241379,4.2588606
garlic,oil,24801,3310,1462,0.05894924,0.44169184,0.05486135,1.0783614
avocado,cilantro,2466,9781,1452,0.58880779,0.14845108,0.13450672,3.64505791
cumin,salt,1942,34455,1452,0.7476828,0.04214192,0.04155101,1.31395135
pasta,salt,2765,34455,1448,0.52368897,0.04202583,0.04047859,0.9203125
onion,vegetable oil,12300,5198,1440,0.11707317,0.27702963,0.08967493,1.36375154
green onion,sugar,8103,9681,1421,0.17536715,0.14678236,0.08684227,1.09683719
egg,green onion,11145,8103,1419,0.12732167,0.17512033,0.07958943,0.9514164
cheese,sour cream,15753,2201,1417,0.08995112,0.64379827,0.08568664,2.47457535
beef,cheese,2489,15753,1412,0.5672961,0.08963372,0.0838978,2.18052301
fish sauce,garlic,2182,24801,1410,0.64619615,0.05685255,0.05513628,1.57764513
garlic,shallots,24801,2528,1407,0.05673158,0.55656646,0.05427822,1.35882016
cheese,parsley,15753,3492,1399,0.08880848,0.40063001,0.07839292,1.53990651
ginger,sugar,7018,9681,1395,0.19877458,0.14409668,0.09115264,1.24323942
chicken,soy sauce,7796,5367,1390,0.17829656,0.25899012,0.11806676,2.01152541
panko breadcrumbs,pepper,2274,22147,1385,0.60905893,0.06253669,0.06012329,1.66516991
ground cumin,olive oil,4111,18893,1384,0.33665775,0.07325464,0.0640148,1.07895128
salt,vanilla extract,34455,2397,1382,0.04011029,0.57655403,0.0389625,1.01321568
red pepper flakes,salt,2319,34455,1376,0.59335921,0.03993615,0.03887225,1.04274851
chili powder,tomato,4698,7169,1373,0.29225202,0.19151904,0.13083667,2.4683861
cayenne pepper,salt,1890,34455,1360,0.71957672,0.03947177,0.0388738,1.26455871
egg,water,11145,8805,1359,0.12193809,0.15434412,0.07309989,0.83854075
garlic,thyme,24801,2373,1355,0.05463489,0.57100716,0.05248073,1.3940762
garlic,purple onion,24801,2637,1353,0.05455425,0.51308305,0.05186889,1.2526583
flour,milk,8057,3433,1343,0.16668735,0.39120303,0.13235439,2.93997064
paprika,salt,1778,34455,1338,0.75253093,0.03883326,0.0383436,1.32247128
garlic,tomato paste,24801,1708,1337,0.05390912,0.78278689,0.05311457,1.91112237
olive oil,thyme,18893,2373,1328,0.07029058,0.55962916,0.06660648,1.79355029
pasta,pepper,2765,22147,1320,0.47739602,0.05960175,0.05595117,1.30520292
sugar,vanilla extract,9681,2397,1315,0.13583308,0.54860242,0.12217783,3.43124435
brown sugar,salt,2788,34455,1314,0.4713056,0.0381367,0.03657213,0.82825581
pepper,shallots,22147,2528,1313,0.05928568,0.51938291,0.05620238,1.41999527
baking powder,salt,1637,34455,1310,0.80024435,0.03802061,0.03766316,1.40632115
jalapeno chilies,salt,1861,34455,1306,0.70177324,0.03790451,0.03730363,1.2332715
cheese,chili powder,15753,4698,1302,0.08265092,0.27713921,0.06799311,1.06524339
pepper,purple onion,22147,2637,1298,0.05860839,0.49222601,0.05526697,1.34574819
salt,sesame oil,34455,2978,1294,0.03755623,0.43451981,0.03580619,0.76360977
garam masala,onion,2179,12300,1292,0.59293254,0.10504065,0.09797528,2.91886709
soy sauce,water,5367,8805,1279,0.23830818,0.14525838,0.09920112,1.63879163
beef,salt,2489,34455,1277,0.51305745,0.03706284,0.0358034,0.90162905
garam masala,garlic,2179,24801,1275,0.58513079,0.05140922,0.04960124,1.42855811
butter,vanilla extract,9765,2397,1268,0.12985151,0.52899458,0.11639435,3.28014558
corn starch,salt,2573,34455,1265,0.491644,0.03671456,0.03537175,0.86399779
olive oil,red bell pepper,18893,2893,1256,0.06647965,0.4341514,0.06117876,1.39140778
flour,water,8057,8805,1254,0.15564106,0.14241908,0.08034341,1.07030846
canola oil,salt,1935,34455,1252,0.64702842,0.03633725,0.03563094,1.1370649
green onion,vegetable oil,8103,5198,1247,0.15389362,0.23989996,0.10345114,1.79266231
baking powder,flour,1637,8057,1244,0.7599267,0.1543999,0.14721893,5.71100427
corn starch,soy sauce,2573,5367,1242,0.48270501,0.2314142,0.18542849,5.44583353
onion,oregano,12300,4074,1242,0.10097561,0.30486009,0.08207772,1.50075434
cilantro,jalapeno chilies,9781,1861,1239,0.12667416,0.66577109,0.11910026,4.12150491
olive oil,purple onion,18893,2637,1239,0.06557984,0.4698521,0.06106155,1.50582464
pepper,red bell pepper,22147,2893,1239,0.05594437,0.42827515,0.05205664,1.17090622
oil,onion,3310,12300,1238,0.37401813,0.10065041,0.08613972,1.84120306
garlic,rice vinegar,24801,2142,1215,0.04898996,0.56722689,0.04722481,1.38484691
chili powder,olive oil,4698,18893,1211,0.25776926,0.06409781,0.05411081,0.82612232
chicken broth,garlic,1942,24801,1205,0.62049434,0.04858675,0.04718459,1.51489585
flour,onion,8057,12300,1204,0.14943527,0.09788618,0.06286221,0.73563462
ginger,vegetable oil,7018,5198,1204,0.17155885,0.23162755,0.10933527,1.99843946
beef,garlic,2489,24801,1202,0.48292487,0.04846579,0.04607482,1.17902911
garlic,lemon,24801,2264,1202,0.04846579,0.53091873,0.04647566,1.29620293
olive oil,red pepper flakes,18893,2319,1199,0.06346266,0.5170332,0.05991106,1.65703491
cumin,garlic,1942,24801,1189,0.61225541,0.04794162,0.04652892,1.49478105
butter,water,9765,8805,1183,0.12114695,0.13435548,0.06803934,0.83310029
beef,onion,2489,12300,1179,0.47368421,0.09585366,0.08662748,2.33183569
corn starch,green onion,2573,8103,1179,0.45821998,0.14550167,0.12414447,3.42406758
pepper,yellow onion,22147,2303,1170,0.05282883,0.508033,0.05025773,1.38896456
cucumber,salt,1907,34455,1167,0.61195595,0.03387027,0.03315812,1.07542977
salt,tomato paste,34455,1708,1167,0.03387027,0.68325527,0.03334667,1.20072868
lemon,olive oil,2264,18893,1159,0.5119258,0.06134547,0.0579558,1.64066622
cumin seed,salt,1361,34455,1155,0.84864071,0.03352199,0.03332275,1.4913712
olive oil,sugar,18893,9681,1155,0.06113375,0.11930586,0.04212407,0.38236223
flat leaf parsley,olive oil,1635,18893,1154,0.7058104,0.06108082,0.05956436,2.26204518
carrot,green onion,4669,8103,1153,0.24694795,0.14229298,0.09923401,1.84532872
brown sugar,garlic,2788,24801,1148,0.41176471,0.04628846,0.04341742,1.00529628
cheese,panko breadcrumbs,15753,2274,1147,0.07281153,0.50439754,0.06795024,1.93875902
chicken stock,garlic,1705,24801,1147,0.67272727,0.04624814,0.04523049,1.64241911
dijon mustard,pepper,1746,22147,1147,0.65693013,0.05179031,0.05042645,1.79604999
chicken,water,7796,8805,1146,0.14699846,0.13015332,0.07415076,1.01087528
egg,panko breadcrumbs,11145,2274,1146,0.10282638,0.50395778,0.0933757,2.73796714
beef,pepper,2489,22147,1142,0.4588188,0.05156455,0.04860816,1.25441272
cilantro,vegetable oil,9781,5198,1140,0.1165525,0.21931512,0.08237589,1.35768639
chicken broth,salt,1942,34455,1136,0.58496395,0.03297054,0.0322169,1.02799499
garlic,red pepper,24801,1751,1136,0.0458046,0.64877213,0.04469625,1.58393422
olive oil,yellow onion,18893,2303,1134,0.06002223,0.49240122,0.05652477,1.57809208
milk,sugar,3433,9681,1133,0.33003204,0.11703336,0.0945664,2.06419173
cheese,sugar,15753,9681,1131,0.07179585,0.11682677,0.04653746,0.44904851
green chilies,salt,1520,34455,1129,0.74276316,0.03276738,0.0323997,1.30530574
baking powder,egg,1637,11145,1126,0.68784362,0.10103185,0.09660261,3.73700592
garlic,honey,24801,2977,1126,0.0454014,0.37823312,0.04224824,0.92343113
lemon,pepper,2264,22147,1126,0.49734982,0.0508421,0.04835731,1.35975671
carrot,ginger,4669,7018,1124,0.24073677,0.16015959,0.10640916,2.07703216
ground cumin,tomato,4111,7169,1121,0.27268305,0.15636769,0.11034551,2.30310481
tomato,water,7169,8805,1120,0.1562282,0.12720045,0.07540057,1.07434614
chicken,tomato,7796,7169,1118,0.14340688,0.15594923,0.08073951,1.21122699
corn starch,ginger,2573,7018,1118,0.43451224,0.15930465,0.13194854,3.74889089
lime juice,pepper,3816,22147,1115,0.29219078,0.05034542,0.04487283,0.79885093
cheese,milk,15753,3433,1109,0.07039929,0.32304107,0.06134868,1.24167694
salt,sour cream,34455,2201,1107,0.03212886,0.5029532,0.03114012,0.88387219
olive oil,red wine vinegar,18893,1419,1100,0.05822262,0.7751938,0.05725588,2.4844114
granulated sugar,salt,1732,34455,1099,0.63452656,0.03189668,0.03132125,1.11509456
rice vinegar,soy sauce,2142,5367,1096,0.51167134,0.20421092,0.17090285,5.77262891
soy sauce,vegetable oil,5367,5198,1090,0.20309298,0.20969604,0.11503958,2.36577139
dijon mustard,salt,1746,34455,1089,0.62371134,0.03160644,0.03101504,1.09608828
cheese,lemon juice,15753,4935,1082,0.06868533,0.21925025,0.05518719,0.8427349
egg,vegetable oil,11145,5198,1081,0.09699417,0.2079646,0.07082951,1.12985703
pepper,red pepper flakes,22147,2319,1072,0.04840385,0.46226822,0.04582372,1.26384344
cheese,garlic powder,15753,2686,1070,0.06792357,0.39836188,0.06160401,1.53118845
olive oil,shallots,18893,2528,1070,0.05663473,0.42325949,0.05257727,1.35650042
flat leaf parsley,pepper,1635,22147,1068,0.65321101,0.04822324,0.04701946,1.78588191
flat leaf parsley,salt,1635,34455,1064,0.65076453,0.03088086,0.03037743,1.14363059
canola oil,garlic,1935,24801,1062,0.54883721,0.04282085,0.0413648,1.33994972
garlic,jalapeno chilies,24801,1861,1057,0.04261925,0.56797421,0.041281,1.38667143
heavy cream,salt,1729,34455,1047,0.60555234,0.03038746,0.02979765,1.0641763
carrot,cilantro,4669,9781,1044,0.22360248,0.10673755,0.07787558,1.38422763
ground turmeric,onion,1864,12300,1042,0.55901288,0.08471545,0.07940863,2.75188859
pepper,sesame oil,22147,2978,1042,0.04704926,0.34989926,0.04326703,0.95662619
garam masala,ginger,2179,7018,1035,0.47498853,0.14747791,0.12680716,4.09811275
green onion,rice vinegar,8103,2142,1031,0.12723683,0.48132586,0.11189494,3.59672727
lime,pepper,3146,22147,1028,0.32676414,0.04641712,0.04236555,0.89337468
dijon mustard,olive oil,1746,18893,1025,0.58705613,0.0542529,0.05225859,1.88145073
flour,vanilla extract,8057,2397,1021,0.12672211,0.4259491,0.10823704,3.20109448
garlic,ground turmeric,24801,1864,1019,0.04108705,0.54667382,0.03973329,1.33466795
onion,parsley,12300,3492,1017,0.08268293,0.29123711,0.06883249,1.43369164
ground coriander,salt,1319,34455,1015,0.76952237,0.02945871,0.02920107,1.35233142
garlic,shrimp,24801,1739,1012,0.04080481,0.58194365,0.03964275,1.42077689
cayenne pepper,garlic,1890,24801,1010,0.53439153,0.04072416,0.03932869,1.30468156
chicken,vegetable oil,7796,5198,1009,0.12942535,0.19411312,0.08418857,1.50763846
ground cinnamon,salt,1606,34455,1007,0.62702366,0.02922653,0.02872711,1.10190923
avocado,garlic,2466,24801,1005,0.40754258,0.04052256,0.03826822,0.99498823
sugar,vegetable oil,9681,5198,1004,0.10370829,0.19315121,0.07236036,1.20806796
corn starch,pepper,2573,22147,1001,0.38904003,0.045198,0.04220245,1.06363724
carrot,water,4669,8805,1000,0.21417862,0.11357183,0.08016675,1.47285812
vegetable oil,water,5198,8805,1000,0.19238169,0.11357183,0.07690533,1.32296548
flat leaf parsley,garlic,1635,24801,999,0.61100917,0.04028063,0.0392735,1.49173846
oil,pepper,3310,22147,997,0.30120846,0.04501738,0.04076043,0.82350531
oregano,tomato,4074,7169,992,0.24349534,0.13837355,0.09677105,2.05658287
cilantro,cumin,9781,1942,991,0.10131888,0.51029866,0.09234066,3.1590414
salt,turmeric,34455,1222,986,0.02861704,0.80687398,0.02842236,1.41797183
honey,pepper,2977,22147,981,0.32952637,0.04429494,0.0406329,0.90092661
cooking spray,pepper,2025,22147,980,0.48395062,0.04424979,0.04225595,1.32312322
paprika,pepper,1778,22147,980,0.5511811,0.04424979,0.04271083,1.50693167
ginger,rice vinegar,7018,2142,975,0.13892847,0.45518207,0.11912034,3.92722635
greek yogurt,salt,1697,34455,972,0.57277549,0.02821071,0.02762933,1.00657541
cilantro,fish sauce,9781,2182,970,0.09917186,0.44454629,0.08823797,2.7519965
red wine vinegar,salt,1419,34455,965,0.68005638,0.02800755,0.0276433,1.19510706
cheese,ground cumin,15753,4111,964,0.06119469,0.23449282,0.05100529,0.90132295
avocado,cheese,2466,15753,962,0.39010543,0.06106773,0.05574549,1.49945306
chicken stock,salt,1705,34455,960,0.56304985,0.02786243,0.02727273,0.98948392
lime juice,olive oil,3816,18893,953,0.24973795,0.05044196,0.04380401,0.80038282
garlic,paprika,24801,1778,952,0.03838555,0.53543307,0.03714832,1.3072244
corn starch,sugar,2573,9681,949,0.36883016,0.09802706,0.08394516,2.3068553
egg,soy sauce,11145,5367,949,0.08515029,0.17682132,0.06097796,0.96065775
cheese,purple onion,15753,2637,945,0.05998857,0.35836177,0.05417025,1.37743956
garlic,ground coriander,24801,1319,945,0.0381033,0.71645186,0.03753724,1.74916979
chicken broth,pepper,1942,22147,942,0.48506694,0.04253398,0.04069642,1.32617525
salt,shrimp,34455,1739,940,0.02728196,0.54054054,0.02666364,0.94992685
cheese,salsa,15753,1352,936,0.05941725,0.69230769,0.05788855,2.6610316
red pepper,salt,1751,34455,936,0.53455168,0.02716587,0.02653813,0.93940225
pepper,red wine vinegar,22147,1419,933,0.0421276,0.65750529,0.04122299,1.79762248
rice vinegar,salt,2142,34455,933,0.43557423,0.0270788,0.02616083,0.76546277
carrot,soy sauce,4669,5367,930,0.19918612,0.17328116,0.10213046,2.24719949
flour,vegetable oil,8057,5198,929,0.11530346,0.17872259,0.07536914,1.34313672
onion,sugar,12300,9681,929,0.07552846,0.09596116,0.04412882,0.47239417
chili powder,garam masala,4698,2179,927,0.19731801,0.42542451,0.15579832,5.48306809
coconut milk,garlic,1735,24801,927,0.53429395,0.03737753,0.03619821,1.30444331
basil,oregano,2827,4074,926,0.32755571,0.22729504,0.15497908,4.86831085
mayonnaise,salt,1751,34455,923,0.52712736,0.02678856,0.02615991,0.926355
cinnamon,salt,1634,34455,920,0.5630355,0.02670149,0.0261594,0.98945869
potato,salt,1260,34455,918,0.72857143,0.02664345,0.02638158,1.28036569
cilantro,purple onion,9781,2637,917,0.09375319,0.34774365,0.0797322,2.15273263
